Algoritmo;;DT;DT;DT;DT;DT;DT;MLP;MLP;MLP;MLP;MLP;MLP
Medida;;Matriz de confusão;Sensibilidade;Especificidade;Confiabilidade positiva;Confiabilidade negativa;Acurácia;Matriz de confusão;Sensibilidade;Especificidade;Confiabilidade positiva;Confiabilidade negativa;Acurácia
Base;Execução;;;;;;;;;;;;
Base de teste;9;[[ 801 13797], [ 638 15648]];0.9608252486798478;0.054870530209617754;0.5314314824248599;0.556636553161918;0.5326058800673488;[[4782  9816], [3886 12400]];0.7613901510499815;0.3275791204274558;0.5581562837594527;0.5516843562528841;0.5563398523507318
Base completa;0;[[2604 46056], [1944 52340]];0.9641883427897723;0.053514180024660914;0.5319321923655433;0.5725593667546174;0.5337270749145167;[[36148 12512], [37562 16722]];0.3080465698916808;0.7428688861487875;0.5720051994253267;0.4904083570750237;0.5135801989431147
Base completa;1;[[2496 46164], [1858 52426]];0.9657726033453689;0.05129469790382244;0.5317577847651892;0.5732659623334865;0.5335133664905192;[[36251 12409], [37715 16569]];0.3052280598334684;0.7449856144677353;0.5717785906549796;0.4901035610956385;0.513094497979484
Base completa;2;[[2731 45929], [2082 52202]];0.9616461572470709;0.056124126592683926;0.5319623768228184;0.5674215665904841;0.5336202207025179;[[35881 12779], [37006 17278]];0.3182889985999558;0.7373818331278257;0.574841135176498;0.49228257439598283;0.5163875505129002
Base completa;3;[[3093 45567], [2469 51815]];0.9545169847468867;0.06356350184956844;0.532079850485716;0.5560949298813377;0.5333773702207025;[[36261 12399], [37706 16578]];0.305393854542775;0.7451911220715166;0.5721089139662491;0.4902321305447024;0.5132790643456636
Base completa;4;[[2767 45893], [2111 52173]];0.9611119298504164;0.05686395396629675;0.5320192523402606;0.567240672406724;0.5336882188374261;[[36297 12363], [37775 16509]];0.3041227617714244;0.7459309494451295;0.5717996674979219;0.4900232206501782;0.5129585017096674
Base completa;5;[[ 930 47730], [ 897 53387]];0.9834757939724412;0.01911220715166461;0.5279725466538762;0.5090311986863711;0.5276363848305875;[[35939 12721], [37232 17052]];0.31412570923292316;0.7385737772297575;0.5727336848822759;0.49116453239671454;0.5147555952751011
Base completa;6;[[3098 45562], [2488 51796]];0.9541669736939061;0.0636662556514591;0.5320158589946383;0.5546007876834944;0.5332413739508859;[[35827 12833], [37233 17051]];0.3141072875985557;0.7362720920674065;0.570572881809664;0.4903777716944977;0.5136579110972956
Base completa;7;[[ 930 47730], [ 897 53387]];0.9834757939724412;0.01911220715166461;0.5279725466538762;0.5090311986863711;0.5276363848305875;[[35195 13465], [36702 17582]];0.3238891754476457;0.7232840115084258;0.5663027023544948;0.4895197296131967;0.5126767951507616
Base completa;8;[[2756 45904], [2099 52185]];0.9613329894628252;0.05663789560213728;0.5320168418477097;0.5676622039134912;0.5336979328566988;[[37571 11089], [39525 14759]];0.27188490162847245;0.7721126181668722;0.5709919529557412;0.4873274878074089;0.508334628535903
Base completa;9;[[2729 45931], [2128 52156]];0.9607987620661705;0.05608302507192766;0.5317320338067226;0.561869466749022;0.5331539477774324;[[36187 12473], [37579 16705]];0.307733402107435;0.7436703658035347;0.5725203920762219;0.4905647588319822;0.5137939073671122
